nm	Abs
572.20	0.099
572.00	0.099
571.80	0.098
571.60	0.096
571.40	0.098
571.20	0.096
571.00	0.095
570.80	0.096
570.60	0.094
570.40	0.094
570.20	0.094
570.00	0.093
569.80	0.094
569.60	0.092
569.40	0.091
569.20	0.093
569.00	0.091
568.80	0.090
568.60	0.091
568.40	0.090
568.20	0.090
568.00	0.090
567.80	0.088
567.60	0.089
567.40	0.088
567.20	0.088
567.00	0.088
566.80	0.086
566.60	0.087
566.40	0.086
566.20	0.086
566.00	0.085
565.80	0.086
565.60	0.085
565.40	0.084
565.20	0.085
565.00	0.084
564.80	0.083
564.60	0.084
564.40	0.082
564.20	0.083
564.00	0.082
563.80	0.082
563.60	0.082
563.40	0.080
563.20	0.081
563.00	0.081
562.80	0.079
562.60	0.082
562.40	0.080
562.20	0.078
562.00	0.081
561.80	0.078
561.60	0.079
561.40	0.079
561.20	0.078
561.00	0.079
560.80	0.077
560.60	0.077
560.40	0.078
560.20	0.076
560.00	0.076
559.80	0.077
559.60	0.075
559.40	0.076
559.20	0.076
559.00	0.075
558.80	0.075
558.60	0.075
558.40	0.075
558.20	0.074
558.00	0.075
557.80	0.075
557.60	0.073
557.40	0.074
557.20	0.073
557.00	0.074
556.80	0.073
556.60	0.072
556.40	0.073
556.20	0.072
556.00	0.072
555.80	0.072
555.60	0.071
555.40	0.072
555.20	0.072
555.00	0.070
554.80	0.071
554.60	0.071
554.40	0.069
554.20	0.070
554.00	0.069
553.80	0.070
553.60	0.069
553.40	0.068
553.20	0.070
553.00	0.069
552.80	0.068
552.60	0.069
552.40	0.068
552.20	0.069
552.00	0.067
551.80	0.067
551.60	0.068
551.40	0.067
551.20	0.067
551.00	0.067
550.80	0.067
550.60	0.066
550.40	0.066
550.20	0.066
550.00	0.065
549.80	0.066
549.60	0.065
549.40	0.064
549.20	0.066
549.00	0.065
548.80	0.064
548.60	0.065
548.40	0.063
548.20	0.064
548.00	0.064
547.80	0.063
547.60	0.064
547.40	0.064
547.20	0.062
547.00	0.063
546.80	0.062
546.60	0.063
546.40	0.063
546.20	0.061
546.00	0.062
545.80	0.063
545.60	0.061
545.40	0.062
545.20	0.061
545.00	0.062
544.80	0.061
544.60	0.060
544.40	0.062
544.20	0.060
544.00	0.061
543.80	0.059
543.60	0.060
543.40	0.060
543.20	0.058
543.00	0.060
542.80	0.058
542.60	0.060
542.40	0.059
542.20	0.057
542.00	0.059
541.80	0.058
541.60	0.058
541.40	0.058
541.20	0.057
541.00	0.058
540.80	0.058
540.60	0.056
540.40	0.058
540.20	0.057
540.00	0.056
539.80	0.057
539.60	0.056
539.40	0.056
539.20	0.056
539.00	0.055
538.80	0.056
538.60	0.056
538.40	0.055
538.20	0.056
538.00	0.054
537.80	0.054
537.60	0.056
537.40	0.054
537.20	0.054
537.00	0.055
536.80	0.054
536.60	0.054
536.40	0.054
536.20	0.055
536.00	0.054
535.80	0.053
535.60	0.054
535.40	0.053
535.20	0.054
535.00	0.052
534.80	0.053
534.60	0.053
534.40	0.052
534.20	0.053
534.00	0.052
533.80	0.052
533.60	0.053
533.40	0.052
533.20	0.052
533.00	0.053
532.80	0.052
532.60	0.052
532.40	0.052
532.20	0.051
532.00	0.053
531.80	0.051
531.60	0.051
531.40	0.053
531.20	0.051
531.00	0.051
530.80	0.051
530.60	0.051
530.40	0.052
530.20	0.050
530.00	0.051
529.80	0.051
529.60	0.050
529.40	0.051
529.20	0.051
529.00	0.050
528.80	0.051
528.60	0.050
528.40	0.050
528.20	0.051
528.00	0.050
527.80	0.051
527.60	0.050
527.40	0.051
527.20	0.051
527.00	0.050
526.80	0.050
526.60	0.051
526.40	0.051
526.20	0.050
526.00	0.050
525.80	0.051
525.60	0.050
525.40	0.050
525.20	0.051
525.00	0.050
524.80	0.051
524.60	0.050
524.40	0.051
524.20	0.051
524.00	0.050
523.80	0.050
523.60	0.051
523.40	0.050
523.20	0.051
523.00	0.051
522.80	0.050
522.60	0.052
522.40	0.050
522.20	0.050
522.00	0.052
521.80	0.050
521.60	0.051
521.40	0.051
521.20	0.050
521.00	0.052
520.80	0.052
520.60	0.051
520.40	0.052
520.20	0.051
520.00	0.051
519.80	0.052
519.60	0.051
519.40	0.052
519.20	0.053
519.00	0.051
518.80	0.052
518.60	0.052
518.40	0.051
518.20	0.053
518.00	0.052
517.80	0.052
517.60	0.054
517.40	0.052
517.20	0.053
517.00	0.054
516.80	0.052
516.60	0.053
516.40	0.053
516.20	0.053
516.00	0.055
515.80	0.054
515.60	0.054
515.40	0.055
515.20	0.053
515.00	0.055
514.80	0.055
514.60	0.054
514.40	0.055
514.20	0.055
514.00	0.054
513.80	0.057
513.60	0.055
513.40	0.055
513.20	0.056
513.00	0.055
512.80	0.056
512.60	0.056
512.40	0.056
512.20	0.058
512.00	0.056
511.80	0.056
511.60	0.059
511.40	0.057
511.20	0.058
511.00	0.059
510.80	0.057
510.60	0.059
510.40	0.059
510.20	0.058
510.00	0.059
509.80	0.059
509.60	0.059
509.40	0.060
509.20	0.059
509.00	0.060
508.80	0.061
508.60	0.060
508.40	0.061
508.20	0.061
508.00	0.061
507.80	0.062
507.60	0.062
507.40	0.061
507.20	0.063
507.00	0.063
506.80	0.062
506.60	0.063
506.40	0.063
506.20	0.064
506.00	0.063
505.80	0.064
505.60	0.065
505.40	0.065
505.20	0.065
505.00	0.064
504.80	0.066
504.60	0.066
504.40	0.066
504.20	0.067
504.00	0.066
503.80	0.067
503.60	0.067
503.40	0.067
503.20	0.068
503.00	0.069
502.80	0.068
502.60	0.068
502.40	0.070
502.20	0.069
502.00	0.070
501.80	0.071
501.60	0.069
501.40	0.072
501.20	0.071
501.00	0.071
500.80	0.073
500.60	0.071
500.40	0.073
500.20	0.074
500.00	0.072
499.80	0.073
499.60	0.074
499.40	0.074
499.20	0.075
499.00	0.075
498.80	0.074
498.60	0.076
498.40	0.076
498.20	0.076
498.00	0.077
