nm	Abs
584.80	0.649
584.60	0.647
584.40	0.645
584.20	0.642
584.00	0.642
583.80	0.638
583.60	0.636
583.40	0.635
583.20	0.631
583.00	0.630
582.80	0.627
582.60	0.623
582.40	0.624
582.20	0.619
582.00	0.617
581.80	0.615
581.60	0.611
581.40	0.609
581.20	0.608
581.00	0.603
580.80	0.602
580.60	0.599
580.40	0.595
580.20	0.595
580.00	0.591
579.80	0.587
579.60	0.586
579.40	0.582
579.20	0.579
579.00	0.578
578.80	0.573
578.60	0.572
578.40	0.569
578.20	0.564
578.00	0.563
577.80	0.561
577.60	0.557
577.40	0.555
577.20	0.552
577.00	0.548
576.80	0.547
576.60	0.543
576.40	0.541
576.20	0.539
576.00	0.535
575.80	0.533
575.60	0.530
575.40	0.527
575.20	0.526
575.00	0.522
574.80	0.519
574.60	0.518
574.40	0.513
574.20	0.513
574.00	0.510
573.80	0.507
573.60	0.505
573.40	0.502
573.20	0.499
573.00	0.499
572.80	0.494
572.60	0.491
572.40	0.491
572.20	0.487
572.00	0.486
571.80	0.483
571.60	0.479
571.40	0.479
571.20	0.476
571.00	0.472
570.80	0.473
570.60	0.469
570.40	0.466
570.20	0.465
570.00	0.462
569.80	0.460
569.60	0.459
569.40	0.454
569.20	0.454
569.00	0.453
568.80	0.448
568.60	0.447
568.40	0.445
568.20	0.443
568.00	0.442
567.80	0.439
567.60	0.436
567.40	0.436
567.20	0.432
567.00	0.431
566.80	0.430
566.60	0.428
566.40	0.425
566.20	0.424
566.00	0.421
565.80	0.421
565.60	0.418
565.40	0.416
565.20	0.416
565.00	0.413
564.80	0.411
564.60	0.410
564.40	0.407
564.20	0.407
564.00	0.405
563.80	0.402
563.60	0.402
563.40	0.400
563.20	0.399
563.00	0.397
562.80	0.395
562.60	0.394
562.40	0.393
562.20	0.390
562.00	0.389
561.80	0.389
561.60	0.386
561.40	0.385
561.20	0.384
561.00	0.382
560.80	0.381
560.60	0.379
560.40	0.377
560.20	0.377
560.00	0.375
559.80	0.374
559.60	0.372
559.40	0.370
559.20	0.369
559.00	0.368
558.80	0.367
558.60	0.365
558.40	0.363
558.20	0.363
558.00	0.361
557.80	0.360
557.60	0.358
557.40	0.357
557.20	0.356
557.00	0.355
556.80	0.353
556.60	0.353
556.40	0.351
556.20	0.349
556.00	0.348
555.80	0.346
555.60	0.346
555.40	0.345
555.20	0.342
555.00	0.342
554.80	0.341
554.60	0.340
554.40	0.338
554.20	0.336
554.00	0.336
553.80	0.335
553.60	0.333
553.40	0.331
553.20	0.332
553.00	0.331
552.80	0.328
552.60	0.328
552.40	0.326
552.20	0.326
552.00	0.324
551.80	0.321
551.60	0.322
551.40	0.320
551.20	0.318
551.00	0.319
550.80	0.317
550.60	0.315
550.40	0.316
550.20	0.312
550.00	0.311
549.80	0.312
549.60	0.309
549.40	0.308
549.20	0.308
549.00	0.305
548.80	0.305
548.60	0.304
548.40	0.301
548.20	0.301
548.00	0.300
547.80	0.298
547.60	0.298
547.40	0.297
547.20	0.294
547.00	0.294
546.80	0.292
546.60	0.291
546.40	0.291
546.20	0.288
546.00	0.287
545.80	0.287
545.60	0.284
545.40	0.285
545.20	0.283
545.00	0.281
544.80	0.281
544.60	0.278
544.40	0.278
544.20	0.277
544.00	0.275
543.80	0.274
543.60	0.274
543.40	0.271
543.20	0.270
543.00	0.270
542.80	0.268
542.60	0.268
542.40	0.266
542.20	0.263
542.00	0.265
541.80	0.262
541.60	0.260
541.40	0.261
541.20	0.258
541.00	0.258
540.80	0.257
540.60	0.254
540.40	0.255
540.20	0.253
540.00	0.250
539.80	0.251
539.60	0.249
539.40	0.247
539.20	0.247
539.00	0.245
538.80	0.244
538.60	0.245
538.40	0.241
538.20	0.240
538.00	0.240
537.80	0.238
537.60	0.237
537.40	0.236
537.20	0.234
537.00	0.234
536.80	0.233
536.60	0.230
536.40	0.231
536.20	0.230
536.00	0.227
535.80	0.227
535.60	0.225
535.40	0.225
535.20	0.225
535.00	0.221
534.80	0.221
534.60	0.220
534.40	0.218
534.20	0.218
534.00	0.216
533.80	0.216
533.60	0.215
533.40	0.212
533.20	0.212
533.00	0.212
532.80	0.210
532.60	0.209
532.40	0.208
532.20	0.206
532.00	0.207
531.80	0.205
531.60	0.203
531.40	0.203
531.20	0.202
531.00	0.200
530.80	0.200
530.60	0.198
530.40	0.198
530.20	0.197
530.00	0.194
529.80	0.195
529.60	0.193
529.40	0.191
529.20	0.191
529.00	0.190
528.80	0.189
528.60	0.188
528.40	0.187
528.20	0.186
528.00	0.185
527.80	0.184
527.60	0.183
527.40	0.182
527.20	0.181
527.00	0.180
526.80	0.179
526.60	0.178
526.40	0.177
526.20	0.176
526.00	0.175
525.80	0.174
525.60	0.173
525.40	0.172
525.20	0.172
525.00	0.170
524.80	0.170
524.60	0.169
524.40	0.168
524.20	0.167
524.00	0.166
523.80	0.165
523.60	0.164
523.40	0.163
523.20	0.163
523.00	0.162
522.80	0.161
522.60	0.160
522.40	0.159
522.20	0.159
522.00	0.158
521.80	0.157
521.60	0.156
521.40	0.154
521.20	0.154
521.00	0.153
520.80	0.152
520.60	0.152
520.40	0.151
520.20	0.149
520.00	0.149
519.80	0.148
519.60	0.147
519.40	0.147
519.20	0.145
519.00	0.144
518.80	0.145
518.60	0.143
518.40	0.142
518.20	0.142
518.00	0.140
517.80	0.141
517.60	0.139
517.40	0.138
517.20	0.138
517.00	0.137
516.80	0.135
516.60	0.136
516.40	0.134
516.20	0.134
516.00	0.133
515.80	0.132
515.60	0.132
515.40	0.131
515.20	0.129
515.00	0.130
514.80	0.130
514.60	0.128
514.40	0.127
514.20	0.126
514.00	0.127
513.80	0.126
513.60	0.123
513.40	0.125
513.20	0.124
513.00	0.122
512.80	0.122
512.60	0.120
512.40	0.121
512.20	0.121
512.00	0.118
511.80	0.119
